SalesOrderNumber,SalesOrderLineNumber,OrderDate,CustomerID,Item,Quantity,UnitPrice,TaxAmount
SO20191,1,04-08-2024,CUST2646,Vitamin Supplements,8,247.52,99.01
SO20192,1,18-01-2025,CUST1812,Air Purifier,1,471.37,23.57
SO20193,3,14-09-2024,CUST1317,Thermometer,3,245.46,36.82
SO20194,1,09-11-2024,CUST2161,Jeans,5,102.22,25.56
SO20195,3,29-11-2024,CUST2636,Jeans,6,102.22,30.67
SO20196,4,22-04-2025,CUST2777,Microwave,9,306.02,137.71
,4,16-04-2025,CUST1425,Running Shorts,2,278.63,27.86
SO20198,3,12-12-2024,CUST1265,First Aid Kit,3,102.73,15.41
SO20199,1,24-04-2025,CUST1792,Jacket,1,178.65,8.93
SO20200,1,17-03-2025,CUST2685,Car Vacuum,9,98.41,44.28
SO20201,3,25-01-2025,CUST1070,Nail Polish,6,101.32,30.4
SO20202,4,15-04-2025,CUST2912,Doll,9,31.13,14.01
SO20203,2,08-12-2024,CUST1477,Yoga Mat,4,127.99,25.6
SO20204,1,09-08-2024,CUST1104,GPS Navigator,7,379.55,132.84
SO20205,4,24-06-2024,CUST2902,Vacuum Cleaner,7,111.58,39.05
SO20206,3,14-05-2025,CUST1561,Air Purifier,6,471.37,141.41
SO20207,3,06-07-2024,CUST1074,GPS Navigator,2,379.55,37.96
SO20208,1,20-10-2024,CUST2649,Tennis Racket,1,152.03,7.6
SO20209,2,06-01-2025,CUST2707,Children's Book,7,6.62,2.32
SO20210,1,28-10-2024,CUST1373,Building Blocks,1,58.63,2.93
SO20211,2,07-01-2025,CUST1587,Wireless Earbuds,7,1043.5,365.22
SO20212,2,06-09-2024,CUST2216,Biography,2,46.3,4.63
SO20213,3,17-02-2025,CUST1971,Action Figure,1,60.65,3.03
SO20214,1,14-06-2024,CUST2205,T-Shirt,2,74.96,7.5
SO20215,3,03-07-2024,CUST2643,Car Vacuum,7,98.41,34.44
SO20216,1,10-04-2025,CUST1710,Yoga Mat,4,127.99,25.6
SO20217,2,21-03-2025,CUST2245,Microwave,4,306.02,61.2
SO20218,1,17-06-2024,CUST2733,Basketball,5,252.86,63.22
SO20219,2,08-11-2024,CUST1228,Cookbook,6,42.12,12.64
SO20220,4,03-08-2024,CUST1955,Running Shorts,7,278.63,97.52
SO20221,2,25-09-2024,CUST1976,First Aid Kit,1,102.73,5.14
SO20222,4,11-08-2024,CUST2120,Yoga Mat,6,127.99,38.4
SO20223,2,12-10-2024,CUST2931,Blender,4,265.85,53.17
SO20224,4,03-08-2024,CUST2309,Vitamin Supplements,9,247.52,111.38
SO20225,1,05-07-2024,CUST1177,Puzzle,7,53.84,18.84
SO20226,2,14-06-2024,CUST1504,Children's Book,3,6.62,0.99
SO20227,4,22-05-2025,CUST1345,Plant Pots,2,316.61,31.66
SO20228,2,27-08-2024,CUST1173,Building Blocks,4,58.63,11.73
SO20229,3,24-07-2024,CUST2590,Biography,8,46.3,18.52
SO20230,2,10-08-2024,CUST2486,Smartwatch,5,1166.83,291.71
SO20231,3,10-04-2025,CUST2766,Jeans,9,102.22,46
SO20232,4,23-06-2024,CUST2531,Hand Sanitizer,9,67.13,30.21
SO20233,3,16-12-2024,CUST1004,Lawn Mower,8,312.5,125
SO20234,2,19-02-2025,CUST2050,Microwave,4,306.02,61.2
SO20235,3,24-10-2024,CUST2679,Microwave,1,306.02,15.3
SO20236,1,30-06-2024,CUST1876,Biography,4,46.3,9.26
SO20237,1,01-07-2024,CUST2730,Blood Pressure Monitor,4,172.01,34.4
SO20238,4,11-07-2024,CUST1921,Laptop,1,1357.95,67.9
SO20239,1,18-07-2024,CUST2389,Car Vacuum,3,98.41,14.76
SO20240,2,28-04-2025,CUST1084,Blender,1,265.85,13.29
SO20241,2,29-04-2025,CUST2221,Perfume,1,48.96,2.45
SO20242,4,02-12-2024,CUST2436,Blender,7,265.85,93.05
SO20243,2,07-07-2024,CUST2711,Air Purifier,1,471.37,23.57
SO20244,4,24-12-2024,CUST2131,Action Figure,2,60.65,6.06
SO20245,4,03-03-2025,CUST1915,Jeans,8,102.22,40.89
SO20246,4,21-01-2025,CUST2963,Foundation,8,135.88,54.35
SO20247,3,28-05-2025,CUST1252,Smartwatch,7,1166.83,408.39
SO20248,2,16-01-2025,CUST2255,Science Textbook,1,16.92,0.85
SO20249,4,25-07-2024,CUST2628,Cookbook,7,42.12,14.74
SO20250,1,18-10-2024,CUST2318,Building Blocks,6,58.63,17.59
SO20251,4,06-09-2024,CUST2172,Doll,3,31.13,4.67
SO20252,4,03-01-2025,CUST2538,Tennis Racket,8,152.03,60.81
SO20253,1,28-01-2025,CUST2327,Fertilizer,2,77.63,7.76
SO20254,3,22-08-2024,CUST1415,Car Cover,6,380.21,114.06
SO20255,1,12-03-2025,CUST2248,Hand Sanitizer,5,67.13,16.78
SO20256,2,02-11-2024,CUST2264,Basketball,3,252.86,37.93
SO20257,3,14-09-2024,CUST1032,Fertilizer,6,77.63,23.29
SO20258,3,20-03-2025,CUST1402,Coffee Maker,6,493.13,147.94
SO20259,3,21-10-2024,CUST2477,Dash Cam,3,330.24,49.54
SO20260,1,10-06-2024,CUST2571,Vitamin Supplements,5,247.52,61.88
SO20261,4,08-06-2024,CUST1648,Thermometer,2,245.46,24.55
SO20262,2,09-07-2024,CUST1717,Cookbook,2,42.12,4.21
SO20263,3,03-01-2025,CUST2703,Plant Pots,8,316.61,126.64
SO20264,3,11-02-2025,CUST2184,Bluetooth Speaker,3,781.62,117.24
SO20265,1,30-04-2025,CUST1901,First Aid Kit,9,102.73,46.23
SO20266,4,27-09-2024,CUST1792,Bluetooth Speaker,8,781.62,312.65
SO20267,3,29-03-2025,CUST1250,Children's Book,4,6.62,1.32
SO20268,1,04-06-2024,CUST2089,Car Vacuum,9,98.41,44.28
SO20269,2,23-07-2024,CUST2278,Running Shorts,5,278.63,69.66
SO20270,1,02-08-2024,CUST2099,Foundation,9,135.88,61.15
SO20271,2,13-09-2024,CUST2665,Pruning Shears,2,307.9,30.79
SO20272,1,14-08-2024,CUST2108,Football,5,54.37,13.59
SO20273,2,01-02-2025,CUST2442,T-Shirt,5,74.96,18.74
SO20274,3,12-01-2025,CUST1531,Sunglasses,3,101.72,15.26
SO20275,3,08-02-2025,CUST1330,Running Shorts,6,278.63,83.59
SO20276,2,20-03-2025,CUST1205,Plant Pots,1,316.61,15.83
SO20277,1,21-02-2025,CUST1204,Car Cover,2,380.21,38.02
SO20278,2,10-12-2024,CUST1889,Action Figure,7,60.65,21.23
SO20279,1,22-09-2024,CUST1651,Pruning Shears,2,307.9,30.79
SO20280,4,26-04-2025,CUST2711,Vitamin Supplements,2,247.52,24.75
SO20281,2,27-03-2025,CUST2043,Pruning Shears,2,307.9,30.79
SO20282,4,10-01-2025,CUST1468,Car Vacuum,6,98.41,29.52
SO20283,3,27-02-2025,CUST2514,Remote Car,5,6.8,1.7
SO20284,3,17-12-2024,CUST2632,Fertilizer,5,77.63,19.41
SO20285,2,07-07-2024,CUST2538,Basketball,2,252.86,25.29
SO20286,3,15-05-2025,CUST1724,Smartwatch,3,1166.83,175.02
SO20287,1,18-06-2024,CUST1191,Building Blocks,2,58.63,5.86
SO20288,2,14-10-2024,CUST2517,Car Vacuum,3,98.41,14.76
SO20289,1,28-10-2024,CUST1599,Car Vacuum,1,98.41,4.92
SO20290,3,17-05-2025,CUST1626,Jeans,5,102.22,25.56
SO20291,3,25-04-2025,CUST1340,Building Blocks,7,58.63,20.52
SO20292,4,02-08-2024,CUST1841,Blender,1,265.85,13.29
SO20293,1,08-01-2025,CUST2590,Tire Inflator,1,127.25,6.36
SO20294,4,14-12-2024,CUST1632,Jeans,4,102.22,20.44
SO20295,3,09-06-2024,CUST1655,Biography,5,46.3,11.58
SO20296,3,23-05-2025,CUST1651,Children's Book,2,6.62,0.66
SO20297,4,03-12-2024,CUST1310,Yoga Mat,4,127.99,25.6
SO20298,4,10-11-2024,CUST2500,Laptop,7,1357.95,475.28
SO20299,4,05-01-2025,CUST1468,Smartphone,8,893.23,357.29
SO20300,4,26-11-2024,CUST1323,Laptop,7,1357.95,475.28
SO20301,1,23-01-2025,CUST2712,Lipstick,9,132.35,59.56
SO20302,4,18-02-2025,CUST1786,Smartphone,4,893.23,178.65
SO20303,3,09-01-2025,CUST1257,GPS Navigator,2,379.55,37.96
SO20304,4,16-04-2025,CUST2340,Yoga Mat,6,127.99,38.4
SO20305,4,29-11-2024,CUST2216,Cookbook,3,42.12,6.32
SO20306,2,11-10-2024,CUST1529,Plant Pots,7,316.61,110.81
SO20307,2,19-09-2024,CUST1581,T-Shirt,8,74.96,29.98
SO20308,1,02-12-2024,CUST1897,Car Cover,1,380.21,19.01
SO20309,2,12-12-2024,CUST2003,Smartwatch,1,1166.83,58.34
SO20310,2,27-11-2024,CUST2255,Cookbook,1,42.12,2.11
SO20311,1,22-12-2024,CUST2262,Smartwatch,5,1166.83,291.71
SO20312,2,10-06-2024,CUST1612,Yoga Mat,2,127.99,12.8
SO20313,3,02-04-2025,CUST1238,Thermometer,4,245.46,49.09
SO20314,1,17-02-2025,CUST2433,Vitamin Supplements,6,247.52,74.26
SO20315,4,08-09-2024,CUST1593,Moisturizer,6,145.13,43.54
SO20316,2,07-09-2024,CUST1357,Jeans,8,102.22,40.89
SO20317,4,09-01-2025,CUST1143,Puzzle,2,53.84,5.38
SO20318,3,15-09-2024,CUST1870,Doll,3,31.13,4.67
SO20319,3,25-01-2025,CUST2648,Car Vacuum,1,98.41,4.92
SO20320,4,05-01-2025,CUST2558,Building Blocks,7,58.63,20.52
SO20321,1,18-05-2025,CUST1028,Puzzle,4,53.84,10.77
SO20322,3,07-02-2025,CUST2806,Bluetooth Speaker,3,781.62,117.24
SO20323,2,28-05-2025,CUST1905,Nail Polish,3,101.32,15.2
SO20324,2,01-07-2024,CUST1203,Tennis Racket,2,152.03,15.2
SO20325,1,30-07-2024,CUST2442,Running Shoes,3,37.97,5.7
SO20326,3,22-03-2025,CUST2039,Jacket,7,178.65,62.53
SO20327,4,26-01-2025,CUST2580,Dash Cam,7,330.24,115.58
SO20328,2,11-12-2024,CUST1513,Coffee Maker,2,493.13,49.31
SO20329,4,18-03-2025,CUST1950,Remote Car,5,6.8,1.7
SO20330,4,09-05-2025,CUST1497,Biography,2,46.3,4.63
SO20331,1,03-07-2024,CUST1856,GPS Navigator,8,379.55,151.82
SO20332,4,29-03-2025,CUST1089,Plant Pots,9,316.61,142.47
SO20333,3,27-08-2024,CUST1436,Car Cover,8,380.21,152.08
SO20334,4,22-11-2024,CUST2740,T-Shirt,4,74.96,14.99
SO20335,1,13-01-2025,CUST2512,Air Purifier,8,471.37,188.55
SO20336,4,02-02-2025,CUST2728,Cookbook,3,42.12,6.32
SO20337,3,09-07-2024,CUST2548,Biography,3,46.3,6.94
SO20338,4,23-10-2024,CUST2182,Moisturizer,1,145.13,7.26
SO20339,3,21-02-2025,CUST2461,Laptop,3,1357.95,203.69
SO20340,4,12-06-2024,CUST2048,Car Cover,8,380.21,152.08
SO20341,2,04-04-2025,CUST1664,Air Purifier,1,471.37,23.57
SO20342,3,17-06-2024,CUST1429,Moisturizer,3,145.13,21.77
SO20343,3,25-11-2024,CUST1365,Vacuum Cleaner,5,111.58,27.9
SO20344,1,08-07-2024,CUST2909,T-Shirt,6,74.96,22.49
SO20345,4,26-05-2025,CUST1700,Hand Sanitizer,8,67.13,26.85
SO20346,4,02-08-2024,CUST2534,Plant Pots,3,316.61,47.49
SO20347,2,11-06-2024,CUST1835,Coffee Maker,9,493.13,221.91
SO20348,2,12-12-2024,CUST1608,Biography,6,46.3,13.89
SO20349,4,28-04-2025,CUST2458,Thermometer,5,245.46,61.36
SO20350,4,03-12-2024,CUST1637,Mystery Novel,1,54.28,2.71
SO20351,1,30-08-2024,CUST2634,Fertilizer,7,77.63,27.17
SO20352,3,22-12-2024,CUST1417,Vitamin Supplements,6,247.52,74.26
SO20353,4,19-05-2025,CUST2146,Action Figure,1,60.65,3.03
SO20354,4,04-11-2024,CUST1985,Coffee Maker,1,493.13,24.66
SO20355,2,06-09-2024,CUST1238,Laptop,3,1357.95,203.69
SO20356,2,27-07-2024,CUST1797,Lawn Mower,7,312.5,109.38
SO20357,1,02-10-2024,CUST2015,Coffee Maker,5,493.13,123.28
SO20358,4,28-10-2024,CUST1815,Lawn Mower,9,312.5,140.62
SO20359,3,25-07-2024,CUST1464,Microwave,8,306.02,122.41
SO20360,1,27-03-2025,CUST1461,Car Cover,9,380.21,171.09
SO20361,3,11-08-2024,CUST2143,Football,1,54.37,2.72
SO20362,4,15-06-2024,CUST1286,Fertilizer,6,77.63,23.29
SO20363,4,29-12-2024,CUST2178,Sunglasses,9,101.72,45.77
SO20364,4,02-04-2025,CUST1095,Remote Car,9,6.8,3.06
SO20365,2,31-07-2024,CUST2068,Hand Sanitizer,9,67.13,30.21
SO20366,1,23-01-2025,CUST2190,Nail Polish,4,101.32,20.26
SO20367,3,07-03-2025,CUST1397,Nail Polish,4,101.32,20.26
SO20368,1,05-04-2025,CUST2239,Building Blocks,4,58.63,11.73
SO20369,3,01-07-2024,CUST1909,Action Figure,2,60.65,6.06
SO20370,3,17-07-2024,CUST1136,Vacuum Cleaner,6,111.58,33.47
SO20371,2,09-12-2024,CUST1663,Moisturizer,5,145.13,36.28
SO20372,1,21-12-2024,CUST1417,Biography,1,46.3,2.32
SO20373,2,18-11-2024,CUST2980,Smartwatch,4,1166.83,233.37
SO20374,3,08-02-2025,CUST2442,Foundation,6,135.88,40.76
SO20375,3,23-07-2024,CUST2756,Pruning Shears,7,307.9,107.76
SO20376,3,28-02-2025,CUST1192,Doll,8,31.13,12.45
SO20377,2,07-01-2025,CUST2406,Pruning Shears,9,307.9,138.56
