Item,Category,ProductName,Segment,Price,LaunchDate
Product051,Electronics,Electronics_575,Standard,491.1,2020-05-29
Product058,Clothing,Clothing_305,Standard,28.3,2022-04-17
Product015,Home,Home_993,Premium,415.66,2022-09-30
Product108,Sports,Sports_196,Budget,422.59,2022-09-18
Product116,Home,Home_936,Budget,365.78,2020-09-25
Product114,Beauty,Beauty_670,Standard,30.12,2020-04-29
Product063,Home,Home_951,Standard,132.92,2024-02-06
Product117,Electronics,Electronics_641,Premium,94.91,2021-05-27
Product034,Electronics,Electronics_885,Premium,322.75,2023-04-27
Product192,Sports,Sports_861,Standard,215.6,2023-01-04
Product154,Home,Home_86,Premium,17.05,2023-05-28
Product069,Electronics,Electronics_750,Standard,489.96,2021-03-28
Product144,Clothing,Clothing_432,Standard,405.39,2023-08-05
Product101,Clothing,Clothing_758,Standard,321.2,2022-03-12
Product180,Clothing,Clothing_659,Standard,256.54,2022-02-07
Product069,Sports,Sports_258,Budget,22.99,2022-06-14
Product160,Home,Home_675,Standard,325.21,2022-08-14
Product179,Home,Home_268,Premium,199.19,2023-12-11
Product168,Clothing,Clothing_556,Budget,144.24,2020-01-12
Product095,Clothing,Clothing_499,Premium,312.94,2021-12-27
Product081,Clothing,Clothing_922,Premium,343.99,2022-10-18
Product162,Home,Home_903,Premium,67.9,2023-01-03
Product157,Beauty,Beauty_277,Premium,484.11,2021-11-06
Product138,Sports,Sports_920,Premium,405.35,2023-01-27
Product036,Clothing,Clothing_999,Premium,294.47,2021-10-24
Product190,Sports,Sports_695,Premium,377.93,2020-08-04
Product099,Electronics,Electronics_273,Standard,271.82,2021-08-18
Product112,Electronics,Electronics_397,Standard,448.81,2020-06-25
Product100,Beauty,Beauty_233,Premium,425.1,2020-09-21
Product199,Beauty,Beauty_735,Standard,475.8,2022-04-30
Product111,Sports,Sports_99,Premium,305.2,2022-08-05
Product123,Sports,Sports_151,Premium,392.84,2022-11-28
Product109,Sports,Sports_186,Standard,38.2,2023-05-31
Product122,Sports,Sports_215,Budget,277.5,2021-10-19
Product076,Electronics,Electronics_954,Standard,312.93,2023-06-30
Product007,Sports,Sports_393,Standard,412.71,2021-09-25
Product194,Sports,Sports_165,Premium,124.28,2023-10-20
Product065,Beauty,Beauty_511,Premium,454.77,2023-08-17
Product132,Beauty,Beauty_252,Standard,50.92,2021-03-20
Product108,Home,Home_858,Standard,171.82,2023-02-23
Product195,Sports,Sports_754,Premium,239.64,2022-12-17
Product148,Beauty,Beauty_895,Premium,328.11,2022-10-21
Product131,Sports,Sports_505,Standard,193.69,2023-10-24
Product153,Electronics,Electronics_117,Standard,481.98,2021-11-15
Product160,Sports,Sports_815,Premium,446.66,2022-06-04
Product164,Home,Home_532,Budget,46.96,2020-02-16
Product049,Electronics,Electronics_566,Premium,296.31,2021-10-17
Product185,Home,Home_736,Standard,38.35,2020-12-23
Product152,Beauty,Beauty_8,Premium,93.14,2021-11-06
Product090,Clothing,Clothing_540,Standard,48.09,2020-02-10
Product192,Home,Home_959,Standard,272.69,2022-07-17
Product157,Sports,Sports_547,Standard,413.04,2022-06-01
Product197,Electronics,Electronics_10,Standard,467.04,2023-06-19
Product109,Sports,Sports_801,Budget,391.03,2020-05-25
Product177,Home,Home_282,Premium,196.64,2022-04-06
Product027,Electronics,Electronics_929,Premium,239.66,2023-01-27
Product129,Sports,Sports_518,Budget,348.94,2021-12-09
Product095,Sports,Sports_771,Standard,282.16,2022-09-23
Product053,Sports,Sports_458,Standard,195.15,2023-01-13
Product078,Electronics,Electronics_1,Standard,477.49,2021-12-17
Product004,Electronics,Electronics_488,Premium,312.88,2023-10-03
Product095,Clothing,Clothing_674,Standard,243.34,2022-02-09
Product123,Clothing,Clothing_54,Premium,484.31,2022-09-16
Product057,Electronics,Electronics_303,Budget,216.06,2023-06-06
Product085,Clothing,Clothing_435,Budget,452.54,2022-02-02
Product038,Clothing,Clothing_850,Standard,202.2,2022-05-08
Product179,Clothing,Clothing_166,Premium,230.95,2023-09-20
Product030,Clothing,Clothing_81,Budget,475.27,2022-06-18
Product138,Electronics,Electronics_785,Standard,136.54,2022-09-10
Product069,Clothing,Clothing_53,Standard,180.23,2020-05-05
Product043,Home,Home_111,Budget,73.15,2023-04-21
Product080,Home,Home_912,Standard,324.03,2020-12-25
Product132,Electronics,Electronics_864,Budget,242.24,2020-04-02
Product160,Clothing,Clothing_634,Premium,119.69,2022-10-25
Product092,Clothing,Clothing_534,Premium,53.46,2021-10-06
Product012,Clothing,Clothing_546,Standard,73.09,2023-01-01
Product026,Electronics,Electronics_121,Budget,347.01,2022-12-15
Product094,Home,Home_48,Budget,39.93,2022-11-15
Product036,Electronics,Electronics_867,Premium,100.42,2021-12-19
Product047,Clothing,Clothing_78,Budget,236.64,2020-12-30
Product154,Home,Home_7,Budget,346.71,2022-07-07
Product107,Beauty,Beauty_274,Premium,229.23,2022-01-08
Product115,Electronics,Electronics_485,Budget,99.32,2022-11-28
Product185,Electronics,Electronics_86,Budget,170.47,2022-03-22
Product025,Electronics,Electronics_212,Premium,242.25,2023-11-18
Product067,Electronics,Electronics_146,Premium,52.59,2020-04-20
Product034,Electronics,Electronics_554,Budget,149.05,2021-11-22
Product026,Clothing,Clothing_952,Budget,254.14,2023-11-01
Product033,Sports,Sports_277,Standard,84.9,2021-09-15
Product004,Home,Home_830,Standard,404.87,2022-04-02
Product137,Home,Home_543,Budget,211.09,2021-07-01
Product152,Clothing,Clothing_4,Budget,12.6,2020-04-27
Product113,Home,Home_441,Standard,362.04,2021-12-15
Product136,Clothing,Clothing_173,Budget,387.05,2020-11-21
Product154,Beauty,Beauty_724,Budget,258.73,2020-04-22
Product140,Electronics,Electronics_654,Standard,151.43,2020-05-18
Product100,Sports,Sports_259,Budget,35.39,2021-11-20
Product010,Sports,Sports_650,Budget,495.08,2020-01-13
Product168,Clothing,Clothing_319,Premium,343.94,2022-02-23
Product009,Home,Home_920,Budget,306.99,2023-12-13
Product094,Electronics,Electronics_318,Premium,375.53,2020-11-29
Product117,Home,Home_930,Premium,98.8,2021-05-27
Product040,Beauty,Beauty_840,Premium,415.69,2023-06-06
Product014,Beauty,Beauty_291,Standard,90.49,2020-01-05
Product083,Home,Home_410,Standard,454.85,2021-08-23
Product042,Electronics,Electronics_296,Standard,231.45,2021-09-07
Product014,Home,Home_422,Premium,274.49,2021-07-28
Product143,Electronics,Electronics_145,Premium,450.79,2021-05-17
Product194,Sports,Sports_39,Budget,67.28,2021-08-01
Product135,Home,Home_448,Standard,91.7,2023-08-05
Product155,Beauty,Beauty_550,Premium,378.68,2022-10-17
Product155,Electronics,Electronics_196,Standard,289.25,2021-05-31
Product123,Clothing,Clothing_118,Premium,412.42,2023-03-28
Product047,Beauty,Beauty_216,Premium,305.94,2020-01-15
Product157,Sports,Sports_47,Premium,210.39,2020-05-09
Product155,Home,Home_932,Budget,275.93,2023-07-30
Product069,Beauty,Beauty_254,Budget,455.14,2021-07-03
Product134,Clothing,Clothing_363,Standard,85.14,2020-05-20
Product104,Clothing,Clothing_993,Premium,18.87,2022-04-07
Product171,Beauty,Beauty_888,Premium,21.28,2020-05-06
Product106,Electronics,Electronics_378,Budget,43.77,2020-02-20
Product029,Electronics,Electronics_779,Standard,230.91,2022-03-24
Product101,Sports,Sports_622,Standard,101.3,2022-09-09
Product057,Electronics,Electronics_950,Budget,264.23,2022-07-24
Product143,Sports,Sports_969,Budget,374.68,2020-07-20
Product180,Electronics,Electronics_666,Premium,173.41,2021-07-28
Product025,Clothing,Clothing_806,Budget,179.71,2023-05-18
Product162,Home,Home_640,Premium,120.06,2022-05-25
Product179,Electronics,Electronics_180,Budget,215.27,2023-03-30
Product177,Sports,Sports_662,Budget,117.85,2024-02-01
Product049,Electronics,Electronics_689,Premium,283.08,2020-12-07
Product063,Sports,Sports_327,Premium,301.74,2023-03-10
Product179,Home,Home_318,Budget,110.52,2020-10-11
Product049,Sports,Sports_286,Premium,419.92,2022-11-08
Product018,Electronics,Electronics_371,Standard,232.11,2020-07-12
Product113,Clothing,Clothing_678,Standard,385.02,2023-07-11
Product157,Home,Home_458,Standard,449.74,2020-06-10
Product124,Electronics,Electronics_55,Budget,86.51,2023-04-16
Product135,Sports,Sports_313,Premium,118.77,2021-03-18
Product072,Electronics,Electronics_229,Budget,97.49,2022-10-03
Product008,Clothing,Clothing_96,Budget,494.48,2023-08-04
Product120,Home,Home_182,Premium,110.44,2022-01-04
Product055,Clothing,Clothing_330,Budget,51.9,2020-05-30
Product085,Home,Home_915,Premium,295.69,2021-11-30
Product082,Clothing,Clothing_815,Premium,316.13,2022-01-15
Product130,Home,Home_119,Budget,141.35,2020-09-17
Product037,Electronics,Electronics_53,Standard,154.29,2022-05-03
Product108,Electronics,Electronics_158,Standard,248.84,2020-05-07
Product114,Home,Home_526,Premium,373.43,2020-08-24
Product025,Electronics,Electronics_278,Standard,419.12,2020-01-04
Product154,Clothing,Clothing_109,Premium,348.7,2022-03-15
Product075,Clothing,Clothing_42,Premium,292.49,2022-07-22
Product034,Electronics,Electronics_153,Premium,253.76,2021-08-10
Product087,Sports,Sports_342,Standard,77.07,2023-08-03
Product134,Home,Home_268,Standard,320.22,2022-03-31
Product199,Clothing,Clothing_401,Premium,215.2,2024-02-08
Product190,Clothing,Clothing_576,Standard,183.4,2023-10-18
Product193,Home,Home_292,Premium,387.78,2020-01-29
Product149,Home,Home_512,Budget,458.6,2020-07-05
Product039,Home,Home_98,Standard,204.36,2021-10-25
Product150,Sports,Sports_762,Premium,25.28,2023-03-17
Product081,Home,Home_482,Premium,315.43,2024-01-13
Product073,Electronics,Electronics_641,Premium,252.79,2022-07-27
Product104,Clothing,Clothing_39,Premium,47.21,2023-06-06
Product108,Beauty,Beauty_478,Budget,12.57,2021-06-07
Product019,Sports,Sports_817,Budget,77.04,2020-11-25
Product057,Electronics,Electronics_12,Budget,275.53,2020-08-03
Product083,Sports,Sports_727,Premium,364.81,2022-09-02
Product198,Electronics,Electronics_89,Standard,326.87,2021-05-03
Product109,Clothing,Clothing_288,Budget,355.73,2021-12-11
Product145,Clothing,Clothing_86,Premium,458.59,2020-11-30
Product117,Electronics,Electronics_688,Budget,66.49,2022-04-06
Product082,Beauty,Beauty_995,Budget,166.36,2021-09-06
Product017,Home,Home_98,Premium,443.65,2023-04-09
Product168,Clothing,Clothing_983,Budget,42.02,2021-05-11
Product004,Sports,Sports_921,Standard,371.55,2023-03-30
Product016,Sports,Sports_108,Standard,124.15,2020-11-06
Product170,Clothing,Clothing_251,Standard,438.6,2023-03-10
Product018,Home,Home_39,Budget,14.65,2020-01-29
Product190,Electronics,Electronics_318,Premium,245.14,2021-11-27
Product016,Beauty,Beauty_377,Budget,386.45,2022-07-09
Product103,Beauty,Beauty_577,Premium,127.0,2020-01-03
Product173,Clothing,Clothing_958,Standard,298.66,2021-03-07
Product193,Sports,Sports_975,Standard,219.61,2022-03-27
Product121,Beauty,Beauty_805,Budget,395.31,2022-07-27
Product124,Home,Home_845,Standard,494.7,2021-07-17
Product004,Home,Home_575,Premium,122.98,2023-06-20
Product110,Clothing,Clothing_226,Budget,198.2,2022-07-25
Product003,Sports,Sports_54,Premium,484.86,2021-11-19
Product009,Home,Home_753,Standard,95.21,2021-02-22
Product178,Clothing,Clothing_145,Standard,85.41,2020-06-08
Product013,Sports,Sports_89,Budget,300.54,2023-10-12
Product098,Home,Home_952,Premium,140.14,2022-09-14
Product029,Electronics,Electronics_921,Budget,427.57,2020-06-18
Product009,Electronics,Electronics_395,Premium,52.62,2022-09-10
Product124,Home,Home_176,Premium,252.98,2021-03-29
Product037,Beauty,Beauty_796,Premium,47.3,2021-08-15
Product114,Sports,Sports_349,Standard,454.19,2023-09-08
Product056,Clothing,Clothing_973,Budget,140.84,2023-07-09
Product147,Beauty,Beauty_571,Premium,434.97,2022-02-19
Product107,Sports,Sports_693,Premium,343.27,2020-07-09
Product155,Beauty,Beauty_133,Budget,441.63,2022-04-05
Product031,Clothing,Clothing_672,Standard,174.21,2020-03-22
Product100,Clothing,Clothing_589,Standard,258.66,2020-10-21
Product194,Sports,Sports_667,Standard,490.78,2020-01-17
Product104,Clothing,Clothing_675,Premium,72.94,2021-04-11
Product158,Clothing,Clothing_224,Premium,421.66,2023-12-06
Product060,Sports,Sports_278,Premium,469.24,2021-04-28
Product068,Home,Home_524,Premium,43.0,2022-06-04
Product193,Clothing,Clothing_210,Budget,437.05,2021-12-04
Product175,Sports,Sports_227,Budget,301.25,2021-04-04
Product007,Sports,Sports_33,Budget,168.57,2020-03-19
Product160,Home,Home_570,Budget,10.5,2023-12-24
Product029,Beauty,Beauty_99,Premium,231.18,2020-02-08
Product015,Sports,Sports_75,Premium,118.18,2023-02-27
Product175,Beauty,Beauty_459,Standard,143.9,2022-04-28
Product126,Beauty,Beauty_21,Premium,455.67,2022-05-18
Product187,Beauty,Beauty_659,Standard,144.37,2023-11-11
Product001,Clothing,Clothing_527,Standard,375.46,2023-04-01
Product064,Electronics,Electronics_792,Premium,190.58,2023-07-18
Product027,Beauty,Beauty_985,Standard,435.63,2023-08-25
Product008,Home,Home_562,Standard,382.9,2021-01-21
Product093,Beauty,Beauty_536,Premium,461.22,2022-06-17
Product148,Electronics,Electronics_206,Standard,303.18,2023-06-13
Product084,Beauty,Beauty_678,Premium,120.51,2022-08-13
Product063,Sports,Sports_386,Premium,400.8,2021-01-29
Product064,Sports,Sports_72,Premium,237.65,2023-09-05
Product082,Home,Home_729,Premium,431.46,2020-04-11
Product169,Home,Home_691,Standard,61.42,2021-02-04
Product076,Electronics,Electronics_672,Standard,19.0,2023-08-26
Product086,Beauty,Beauty_714,Premium,390.14,2020-08-29
Product097,Clothing,Clothing_801,Premium,442.44,2021-08-11
Product116,Clothing,Clothing_103,Standard,75.03,2022-05-20
Product090,Clothing,Clothing_143,Standard,108.07,2022-06-05
Product172,Electronics,Electronics_317,Budget,356.17,2020-01-09
Product006,Electronics,Electronics_223,Budget,275.24,2023-10-25
Product008,Clothing,Clothing_84,Standard,176.33,2020-09-07
Product127,Home,Home_314,Standard,394.08,2022-06-13
Product003,Electronics,Electronics_14,Standard,50.0,2022-10-10
Product012,Beauty,Beauty_537,Premium,437.17,2020-05-01
Product147,Beauty,Beauty_904,Premium,437.2,2020-11-04
Product183,Home,Home_966,Standard,362.41,2021-10-23
Product037,Electronics,Electronics_643,Budget,49.95,2022-01-24
Product035,Sports,Sports_950,Premium,25.02,2020-12-18
Product135,Beauty,Beauty_862,Premium,480.78,2022-08-14
Product024,Beauty,Beauty_516,Premium,370.32,2023-11-06
Product020,Beauty,Beauty_689,Standard,261.86,2021-02-23
Product117,Clothing,Clothing_335,Standard,451.34,2020-10-21
Product170,Home,Home_186,Budget,457.06,2023-07-15
Product131,Sports,Sports_552,Standard,419.64,2022-05-16
Product026,Beauty,Beauty_599,Standard,319.94,2021-06-09
Product078,Clothing,Clothing_293,Budget,428.65,2022-10-01
Product041,Beauty,Beauty_623,Premium,300.53,2020-08-18
Product084,Clothing,Clothing_838,Budget,329.54,2020-01-28
Product066,Home,Home_261,Premium,169.34,2023-12-18
Product184,Beauty,Beauty_919,Premium,232.36,2023-11-19
Product010,Home,Home_270,Standard,172.14,2022-04-23
Product094,Electronics,Electronics_133,Premium,131.87,2022-08-29
Product001,Electronics,Electronics_980,Standard,195.89,2023-02-04
Product165,Sports,Sports_305,Premium,423.64,2020-06-04
Product111,Beauty,Beauty_957,Budget,26.75,2020-11-29
Product130,Electronics,Electronics_293,Budget,468.94,2022-03-07
Product001,Home,Home_485,Standard,467.6,2022-04-16
Product161,Electronics,Electronics_206,Budget,347.22,2020-10-02
Product181,Clothing,Clothing_811,Budget,18.52,2020-08-04
Product050,Sports,Sports_39,Premium,232.82,2021-05-09
Product171,Clothing,Clothing_428,Budget,270.8,2020-05-30
Product128,Sports,Sports_746,Standard,369.12,2022-10-28
Product085,Electronics,Electronics_776,Budget,86.52,2023-10-13
Product005,Clothing,Clothing_311,Premium,489.53,2021-03-02
Product158,Clothing,Clothing_145,Standard,417.13,2020-10-29
Product113,Beauty,Beauty_840,Budget,399.8,2022-03-11
Product001,Home,Home_976,Budget,415.15,2023-08-20
Product069,Electronics,Electronics_958,Standard,332.34,2022-10-06
Product192,Electronics,Electronics_681,Premium,496.74,2022-02-19
Product073,Sports,Sports_159,Premium,371.84,2023-09-09
Product098,Sports,Sports_494,Standard,463.58,2020-01-19
Product198,Clothing,Clothing_397,Standard,400.93,2022-04-30
Product109,Home,Home_344,Premium,155.47,2021-03-30
Product089,Sports,Sports_65,Budget,189.57,2021-12-11
Product143,Sports,Sports_828,Budget,278.76,2023-12-11
Product049,Electronics,Electronics_940,Budget,17.19,2023-07-14
Product099,Clothing,Clothing_942,Standard,255.22,2020-03-25
Product026,Clothing,Clothing_924,Standard,22.56,2023-03-23
Product153,Beauty,Beauty_994,Premium,268.05,2022-09-01
Product044,Beauty,Beauty_43,Budget,384.79,2023-09-11
Product046,Clothing,Clothing_427,Budget,18.93,2021-02-10
Product107,Sports,Sports_793,Budget,330.8,2020-02-20
Product015,Beauty,Beauty_141,Premium,182.3,2023-09-19
Product125,Beauty,Beauty_564,Premium,338.35,2022-01-20
Product156,Home,Home_420,Standard,361.64,2020-01-02
Product177,Sports,Sports_345,Standard,266.02,2023-07-10
Product095,Beauty,Beauty_39,Standard,267.33,2022-08-16
Product056,Electronics,Electronics_445,Standard,135.72,2020-02-05
Product084,Beauty,Beauty_775,Standard,409.72,2023-04-10
Product120,Sports,Sports_559,Standard,476.19,2022-06-05
Product150,Sports,Sports_220,Standard,121.76,2021-06-04
Product015,Clothing,Clothing_633,Standard,421.53,2021-08-06
Product152,Electronics,Electronics_859,Standard,392.46,2020-02-19
Product152,Home,Home_202,Budget,406.67,2022-07-03
Product164,Clothing,Clothing_439,Premium,297.44,2021-11-17
Product049,Home,Home_673,Standard,116.2,2021-10-23
Product176,Sports,Sports_419,Budget,307.48,2023-03-29
Product011,Clothing,Clothing_590,Premium,319.69,2021-03-16
Product153,Clothing,Clothing_263,Budget,350.62,2023-10-29
Product125,Electronics,Electronics_459,Premium,495.72,2021-11-30
Product046,Home,Home_102,Standard,293.41,2023-04-05
Product109,Beauty,Beauty_353,Premium,301.92,2020-03-13
Product136,Electronics,Electronics_70,Budget,183.95,2021-12-08
Product013,Electronics,Electronics_956,Standard,402.17,2020-06-08
Product149,Clothing,Clothing_812,Budget,168.92,2023-07-06
Product086,Clothing,Clothing_172,Budget,334.3,2023-05-17
Product035,Clothing,Clothing_798,Budget,173.45,2021-10-23
Product044,Clothing,Clothing_845,Premium,321.13,2023-08-19
Product055,Clothing,Clothing_670,Standard,230.68,2022-06-30
Product012,Electronics,Electronics_656,Budget,197.44,2023-07-26
Product092,Home,Home_517,Standard,371.22,2023-06-25
Product108,Electronics,Electronics_286,Premium,265.27,2021-02-09
Product200,Electronics,Electronics_784,Premium,258.35,2022-01-07
Product142,Beauty,Beauty_663,Premium,138.93,2020-12-26
Product085,Clothing,Clothing_761,Budget,281.36,2022-04-14
Product180,Clothing,Clothing_311,Standard,89.26,2021-02-09
Product171,Beauty,Beauty_244,Premium,112.17,2023-06-16
Product049,Clothing,Clothing_594,Standard,317.7,2023-03-27
Product158,Home,Home_948,Budget,411.18,2021-02-02
Product149,Home,Home_859,Standard,350.53,2024-01-29
Product020,Clothing,Clothing_537,Standard,291.83,2020-09-09
Product054,Electronics,Electronics_782,Budget,78.21,2020-12-01
Product054,Sports,Sports_483,Budget,205.34,2022-11-14
Product141,Sports,Sports_392,Standard,244.33,2022-08-21
Product025,Beauty,Beauty_956,Premium,390.59,2020-05-07
Product096,Beauty,Beauty_543,Premium,258.01,2022-09-15
Product060,Sports,Sports_254,Budget,305.25,2021-10-24
Product031,Home,Home_467,Premium,103.97,2020-12-10
Product130,Home,Home_253,Standard,313.55,2024-01-26
Product083,Electronics,Electronics_149,Budget,69.48,2020-07-08
Product115,Beauty,Beauty_260,Premium,320.26,2022-02-23
Product101,Beauty,Beauty_820,Premium,331.3,2021-02-25
Product178,Sports,Sports_574,Budget,330.5,2021-04-27
Product007,Home,Home_526,Standard,96.67,2021-08-20
Product133,Clothing,Clothing_731,Standard,215.1,2022-01-11
Product079,Sports,Sports_471,Standard,77.18,2023-12-17
Product133,Electronics,Electronics_213,Premium,418.81,2021-05-07
Product181,Clothing,Clothing_173,Premium,30.89,2021-04-09
Product188,Home,Home_917,Budget,423.73,2020-07-01
Product117,Clothing,Clothing_708,Standard,433.68,2021-09-15
Product082,Home,Home_733,Premium,203.29,2023-12-16
Product042,Sports,Sports_397,Standard,75.24,2020-07-10
Product017,Electronics,Electronics_129,Premium,406.35,2020-01-29
Product097,Clothing,Clothing_826,Standard,134.0,2020-08-19
Product021,Beauty,Beauty_759,Budget,333.08,2021-12-26
Product200,Electronics,Electronics_913,Budget,42.66,2022-05-05
Product173,Home,Home_416,Premium,494.25,2020-03-27
Product101,Sports,Sports_87,Premium,361.0,2023-12-29
Product152,Home,Home_645,Premium,259.2,2020-08-19
Product058,Beauty,Beauty_436,Budget,389.58,2023-11-15
Product028,Home,Home_442,Budget,58.21,2020-12-15
Product096,Clothing,Clothing_623,Standard,50.26,2023-05-28
Product081,Electronics,Electronics_962,Premium,337.0,2022-08-20
Product049,Beauty,Beauty_836,Standard,389.57,2020-06-17
Product122,Clothing,Clothing_149,Standard,71.36,2022-02-08
Product118,Sports,Sports_160,Premium,376.56,2023-08-04
Product032,Beauty,Beauty_523,Standard,31.43,2020-09-29
Product168,Clothing,Clothing_969,Budget,192.36,2022-04-25
Product124,Clothing,Clothing_626,Premium,472.11,2021-02-17
Product172,Home,Home_113,Standard,326.45,2020-05-01
Product032,Electronics,Electronics_943,Premium,133.6,2023-11-21
Product149,Beauty,Beauty_256,Budget,277.06,2020-08-22
Product089,Beauty,Beauty_781,Premium,90.76,2021-06-24
Product180,Home,Home_607,Standard,249.31,2023-12-01
Product088,Beauty,Beauty_278,Premium,275.7,2023-10-08
Product184,Home,Home_630,Budget,286.86,2021-02-16
Product030,Beauty,Beauty_281,Budget,382.95,2023-02-08
Product136,Clothing,Clothing_656,Standard,407.76,2023-07-08
Product003,Electronics,Electronics_224,Budget,441.11,2021-04-17
Product010,Sports,Sports_231,Standard,311.34,2022-12-25
Product169,Sports,Sports_500,Premium,266.84,2020-08-21
Product090,Clothing,Clothing_12,Standard,375.41,2022-11-03
Product121,Clothing,Clothing_377,Premium,342.41,2022-10-11
Product070,Home,Home_698,Premium,190.47,2023-11-05
Product132,Beauty,Beauty_536,Standard,116.43,2023-03-23
Product037,Sports,Sports_871,Standard,11.58,2020-02-07
Product174,Beauty,Beauty_941,Premium,55.57,2023-02-16
Product071,Beauty,Beauty_526,Premium,364.47,2020-12-01
Product186,Beauty,Beauty_536,Standard,341.47,2021-08-16
Product147,Beauty,Beauty_817,Budget,321.88,2020-07-29
Product150,Sports,Sports_314,Standard,356.76,2022-07-15
Product100,Home,Home_740,Premium,69.96,2020-04-22
Product183,Electronics,Electronics_831,Standard,118.1,2022-02-01
Product047,Home,Home_118,Premium,324.86,2021-02-04
Product198,Beauty,Beauty_987,Budget,346.1,2020-03-18
Product124,Home,Home_137,Budget,475.65,2022-04-16
Product061,Clothing,Clothing_771,Standard,22.84,2020-09-10
Product118,Sports,Sports_849,Standard,465.51,2021-07-16
Product147,Clothing,Clothing_302,Budget,120.52,2021-08-03
Product093,Sports,Sports_917,Premium,234.51,2020-09-17
Product100,Clothing,Clothing_743,Standard,452.92,2022-07-19
Product129,Electronics,Electronics_809,Standard,87.87,2023-10-19
Product188,Electronics,Electronics_596,Budget,331.91,2021-07-01
Product158,Beauty,Beauty_414,Standard,27.78,2022-06-21
Product163,Beauty,Beauty_632,Standard,487.67,2023-11-24
Product182,Clothing,Clothing_205,Premium,141.39,2022-04-20
Product045,Beauty,Beauty_596,Budget,313.65,2022-05-24
Product185,Sports,Sports_929,Standard,388.21,2022-12-29
